"Map","Scope","RelativePath","Extension","Bytes","SHA256"
"deus","exclusive","[ydr]\quebradashop_muro1b.ydr",".ydr","4486","476CEF78CA89252AA425EC50095E96BD60E2AE53BAF890E0B9DB79BB7674036B"
"deus","exclusive","[ydr]\quebradashop_quadra3.ydr",".ydr","1244286","3CD7B203209D854A6CD83C730C754965D0A08295F9CE82502C45EE65F8F9131E"
"deus","exclusive","[ydr]\quebradashop10.ydr",".ydr","39770","7626F86CA0971C8C3D14949A92CF2BD9978E6A6350ECB4A0E771D96A676EA178"
"deus","exclusive","[ydr]\quebradashop10b.ydr",".ydr","39769","CD905D2CDB8DA98D31692B0A5101158BAA99FFA283DDAE5116F183F06C4E8760"
"deus","exclusive","[ydr]\quebradashop11.ydr",".ydr","44207","52C3C61CE263E4741834068E730BEE2F4EF0742BE2649695937BF19CC62098F8"
"deus","exclusive","[ydr]\quebradashop11a.ydr",".ydr","44206","3C3121F3A8F85290FC8618F72820CBDB86F63D3F885C58536C09B15D55E4A668"
"deus","exclusive","[ydr]\quebradashop11b.ydr",".ydr","44210","A37143CA3751EFFC5A648526B8EB0ED0ABFD3EE5045EB730E35AD7F11A3F7365"
"deus","exclusive","[ydr]\quebradashop11e.ydr",".ydr","44205","616E89286C704DD00633CF0AF2506872A5A115919E9410F940C7E50D18691B87"
"deus","exclusive","[ydr]\quebradashop12d.ydr",".ydr","34490","CD8A68CAB7EA756C9010F7AA5ACD79D7D54CDD7C3E58A1511577F3B64EC941E1"
"deus","exclusive","[ydr]\quebradashop12e.ydr",".ydr","34490","7CC49B11FD50EA9980808EA4C5D1D3467AACBA7FED7DAC88D80BE8B414FE9DCC"
"deus","exclusive","[ydr]\quebradashop14e.ydr",".ydr","82337","8679CCDA9B0A2A4FDD0AD8B1AD21C9C416C7AA6FE4F99916A01D5DF07673EEFD"
"deus","exclusive","[ydr]\quebradashop15.ydr",".ydr","79604","5FA2D54ED023ACFAC0BDACECF4105F9029D21F417ACFBE3D4039265B92267738"
"deus","exclusive","[ydr]\quebradashop16e.ydr",".ydr","66816","134178C9EDB5A8F5769A74E8E1B47A91BBC76ECF631CD5F89EECA81A2A119CBC"
"deus","exclusive","[ydr]\quebradashop17a.ydr",".ydr","57119","D3F4EEEACECA4BA413BD77BDF43062E88743ED4E77AF7D7718BCD8C58533C533"
"deus","exclusive","[ydr]\quebradashop18d.ydr",".ydr","48340","2E2FC3037C37CDC788A8EB365643CE02F7A9DB319671C7E32E97F4BE70398BA8"
"deus","exclusive","[ydr]\quebradashop18g.ydr",".ydr","48356","C95FCE2330F5E1893F46A65B2211BD3E13653F945198F9B05BB27406D143C2C7"
"deus","exclusive","[ydr]\quebradashop18h.ydr",".ydr","44276","BD9A1B0BC9777CFB112CF8AFC4726FEAA839BEE8E81C3EAC4765C90059927AE2"
"deus","exclusive","[ydr]\quebradashop23b.ydr",".ydr","67528","408237B93A802CE445EBC4902E1228BCDF2BF6EF5535C71129B5BB4989578E6D"
"deus","exclusive","[ydr]\quebradashop25.ydr",".ydr","522480","3710CCB7B343CCFE81D065D6C6DBE9CF05DA730D40DD78306296F395D3F53933"
"deus","exclusive","[ydr]\quebradashop2a.ydr",".ydr","27537","9C28D3473D20E9A78D1B098F66AEBFC17DA9B38813D67B0F7FA3C6E0E81AD047"
"deus","exclusive","[ydr]\quebradashop4.ydr",".ydr","34262","D44F68839BE1E4492EF1B39CFAFDBBF9BC4E6568590C3921F4AAE120E4589091"
"deus","exclusive","[ydr]\quebradashop4a.ydr",".ydr","34263","15EFCE7166CA1DC25CDC229FC53E1C149BBDA7A66F957B1135EB84BE741079ED"
"deus","exclusive","[ydr]\quebradashop5.ydr",".ydr","36537","F69C68C444AB0435D6E309AF705E69545B9D5496EBB98EE42C3392199A198D40"
"deus","exclusive","[ydr]\quebradashop5a.ydr",".ydr","36560","A8C714CBF2527A9AB95258D53A40B130011D81D0A83EB1173A14EBD66BEA1BB5"
"deus","exclusive","[ydr]\quebradashop5d.ydr",".ydr","36559","D16BF877506DE45175C9197F30CAFAA95907ECD67DB443739588D96072F5AC45"
"deus","exclusive","[ydr]\quebradashop5e.ydr",".ydr","36550","8A29258900D191B3E1D8F52E416ECB33D1E5F211BE770219E53B4B20B7C4C4A7"
"deus","exclusive","[ydr]\quebradashopgraf134.ydr",".ydr","12306","7206EEBEBA617BEB6137E45AABE7C6F0A0665793D9987C9AA0C94E4324483C9D"
"deus","exclusive","[ydr]\quebradashopgraf175.ydr",".ydr","29396","9B4B9FB8239B55FDF22F730E492EBB6A61339BBDFB6580D731DA3EA956D574A8"
"deus","exclusive","[ydr]\quebradashopgraf179.ydr",".ydr","42909","F2935DCAA94C81D5D0038ED5E3627598BA909A73F3B3D42137CE5766D6BFFA6E"
"deus","exclusive","[ydr]\quebradashopgraf183.ydr",".ydr","40834","621ADEAA9C967F4C4025D8ABC77ADF085849EB6CA3EA32AEA86C134692DC6D3F"
"deus","exclusive","[ydr]\quebradashopgraf206.ydr",".ydr","104340","411BB4BC7A4344FA22A22E4EAB1CA5EC2D1D1C7C3820BB9D4670BD8C9305A8D4"
"deus","exclusive","[ydr]\quebradashopgraf211.ydr",".ydr","219229","64A80B476FEA02FAC6044FAAF6A910FFC0A7C2FFD648E36B8863064778AD6F40"
"deus","exclusive","[ydr]\quebradashopgraf216.ydr",".ydr","122976","CB8F956B132685306D553A9B8E5AFDEDF9EEB5DE1B5E61C3F410749F1F88A36D"
"deus","exclusive","[ydr]\quebradashopgraf218.ydr",".ydr","83628","BA6F4BFF56794E5F8D1AD567E19F8F5C33460FADE2A825FA1BF6F05DFB6FD476"
"deus","exclusive","[ydr]\quebradashopgraf275.ydr",".ydr","242310","8C99A336E3A00DED082DF12F2249F514525142D8F4FB93A157A8AC7B93D2A2AE"
