"Resource","RuntimeClass","Started","StartDetail","Manifest","Files","SizeMB","StreamFiles","StreamMB","GitTrackedSource","DependencyHints","ContentSHA256","OriginLicense"
"[system]/pma-voice","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","23","0,68","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","9975A7F0AED1E64033CCBF06D9AC5DD965A4E28661B617C07655365107213AAE","UNVERIFIED"
"[system]/PolyZone","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","14","0,05","0","0","False","","6963E97194E47142BEB77876A0658E85990BFA6AAB2F45EC8DE56883EEB95D0E","UNVERIFIED"
"[system]/screenshot-basic","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","5","2,4","0","0","False","","45C0A01647BC89D3E8CD381B60631CBA58023FD554AF8F5D5A6EDFABD784F7E5","UNVERIFIED"
"[system]/sessionmanager","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","3","0","0","0","False","","36603B474AA16085295F368F7D73CB8D0BD6802BA426ABF81DD5BF3508E3DA86","UNVERIFIED"
"[system]/sounds","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","17","0,91","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","165A8B2229DB91B1A63D502DC655D22CAF814EAD567494A7F359F9F648EE5097","UNVERIFIED"
"[vehicles]/1016urus","INCOMPLETE_NO_MANIFEST","True","start [vehicles] [GROUP] line 36","","6","28,34","0","0","False","","14EFAEC4FD8F3F507CFE23C4AD2BD9DBB02C316C945722BF4C2956801B44266A","UNVERIFIED"
"[vehicles]/2f2fgtr34","INCOMPLETE_NO_MANIFEST","True","start [vehicles] [GROUP] line 36","","7","14,71","0","0","False","","D6C81CF29BCE2EF28C3342D12087C04D5FD1A750A95FCEE71D2EDC06487F4EE1","UNVERIFIED"
"[vehicles]/d7club8","RUNTIME_EXTERNAL","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","36","10,83","29","10,78","False","","86B4142461468AC11ECC0AFDB01C2474990982286CC544F655D87BDA165BA855","UNVERIFIED"
"[vehicles]/golgl","RUNTIME_EXTERNAL","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","9","13,96","3","13,92","False","","964971E03B495122640A0C87FBE915F413F4D0DB0431809CFD4C758178603C97","UNVERIFIED"
"[vehicles]/of_broom_proxy","TRACKED_SOURCE_EXTERNAL_ASSETS","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","9","0,57","3","0,56","True","","FFAF3C850A8AB9533F2B2D014F8151DF5DDCD4C4FE27299D35888EBBB882100B","UNVERIFIED"
"[vehicles]/of_carros_standard","RUNTIME_EXTERNAL","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","75","113,08","48","112,56","False","","B81E1F4025D3761EBED973703019311C56E1B3F1704D89EFC5CCDA0C4983E524","UNVERIFIED"
"[vehicles]/of_magic_broom","TRACKED_SOURCE_EXTERNAL_ASSETS","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","8","0,56","3","0,56","True","","82457CF64A96C275E64609BCB6FF0AA580AAE1B1A561C2014EF2A77690C6CF15","UNVERIFIED"
"[vehicles]/tmfiatunot","RUNTIME_EXTERNAL","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","9","17,37","3","17,35","False","","8122C1DF7571657A1EE908B82EB39FA6A3B60B48DDBC98CB88B0FD48B9BB7C70","UNVERIFIED"
